"MAT_ALU_MATRICULA","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","MAT_TUR_ANO","MAT_TUR_PERIODO","MAT_MEDIA_FINAL"
"f9770db3c02865f627652bcfd473bbca",1307151,"Leitura e Produção de Textos",2016,1,9.7
"f9770db3c02865f627652bcfd473bbca",1411174,"Introdução à Computação",2016,1,7.8
"39a034810d6732974c743d67b935debe",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,6.2
"39a034810d6732974c743d67b935debe",1109103,"Cálculo Diferencial e Integral I",2016,1,7.3
"39a034810d6732974c743d67b935debe",1307151,"Leitura e Produção de Textos",2016,1,9.7
"39a034810d6732974c743d67b935debe",1411174,"Introdução à Computação",2016,1,7
"39a034810d6732974c743d67b935debe",1411180,"Laboratório de Programação I",2016,1,8.9
"2f5a361d24d22fd46752c3543946b5bd",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,8.7
"2f5a361d24d22fd46752c3543946b5bd",1109103,"Cálculo Diferencial e Integral I",2016,1,9.3
"2f5a361d24d22fd46752c3543946b5bd",1307151,"Leitura e Produção de Textos",2016,1,10
"2f5a361d24d22fd46752c3543946b5bd",1411167,"Programação I",2016,1,8.8
"2f5a361d24d22fd46752c3543946b5bd",1411174,"Introdução à Computação",2016,1,10
"2f5a361d24d22fd46752c3543946b5bd",1411180,"Laboratório de Programação I",2016,1,8.8
"be3d7396147ecf6ba7c37cc1fffb68e6",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"be3d7396147ecf6ba7c37cc1fffb68e6",1109103,"Cálculo Diferencial e Integral I",2016,1,1.4
"be3d7396147ecf6ba7c37cc1fffb68e6",1307151,"Leitura e Produção de Textos",2016,1,8.7
"be3d7396147ecf6ba7c37cc1fffb68e6",1411174,"Introdução à Computação",2016,1,6.6
"be3d7396147ecf6ba7c37cc1fffb68e6",1411180,"Laboratório de Programação I",2016,1,7.3
"d52bbc7fd9e9fb73a45df50cdeb71b33",1109103,"Cálculo Diferencial e Integral I",2016,1,5.7
"19191a02edd8cd019d59b4c9f3ef8af4",1109103,"Cálculo Diferencial e Integral I",2016,1,2.2
"d52bbc7fd9e9fb73a45df50cdeb71b33",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,6
"d52bbc7fd9e9fb73a45df50cdeb71b33",1411167,"Programação I",2016,1,7.3
"d52bbc7fd9e9fb73a45df50cdeb71b33",1411174,"Introdução à Computação",2016,1,6
"d52bbc7fd9e9fb73a45df50cdeb71b33",1411180,"Laboratório de Programação I",2016,1,7.3
"b0adba59722aec48a1ff459ef8a90799",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"b0adba59722aec48a1ff459ef8a90799",1109103,"Cálculo Diferencial e Integral I",2016,1,0.5
"b0adba59722aec48a1ff459ef8a90799",1307151,"Leitura e Produção de Textos",2016,1,8.3
